mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType,Flag_Au_Oro,Status_Au_Oro,Flag_Ag_Plata,Status_Ag_Plata,Flag_Cu_Cobre,Status_Cu_Cobre,Flag_Pb_Plomo,Status_Pb_Plomo,Flag_Hg_Cinabrio,Status_Hg_Cinabrio,Flag_Sn_Estano,Status_Sn_Estano,Flag_Fe_Hierro,Status_Fe_Hierro,Tech_Ruina_Montium,Tech_Subterranea,Tech_Cielo_Abierto,Tech_Lavado_Placer,Certainty_Spatial,Certainty_Archaeological,Certainty_Metallogenic,Certainty_Score,Certainty_Grade,Real_Elevation_MDT_m,Real_IGME_Lithology_General,Real_IGME_Lithology_Detailed,Real_IGME_Era,Real_IGME_Sistema,Real_IGME_Dominio,Coord_X,Coord_Y,Real_IGME_Dist_Fault_m,Real_IGME_Dist_Contact_m,Real_IGME_Fault_Density_5km
528,Cheices,,Hispania Tarraconensis,Spain,León,Cuenca media del Sil,,MS-012,,,,,42.439722,-6.826583,1000.0,"Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 16",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 195",1.0,0.0,True,,,,,,,,,Secondary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),477.0,Areniscas; pizarras y calizas,"Pizarras, esquistos, areniscas, calizas, ampelitas y liditas",PALEOZOICO,SILURICO-DEVONICO, ,185261.44967037882,4705697.872091701,24207.0,25279.3,0
529,Chinflón,,Hispania Baetica,Spain,Huelva,Huelva,,,H 50,960.0,339.4,339.8,37.61503519,-6.64101067,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 61,,,False,False,False,0.0,0.0,0.0,,,Pyrite,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),361.0,Conglomerados; areniscas; pizarras; calizas y vulcanitas; Carbon,Vulcanitas y rocas vulcanoclásticas,PALEOZOICO,CARBONIFERO, ,178609.54508878064,4169341.350215345,16467.5,8364.9,0
530,Cimera de la Collada / Los Collados - Las Vallinas,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Orbigo,,AO-17,LE 20,128.0,418.3,901.7,42.69839759,-5.905742865,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Google Earth shows extensive stone dumps or murias.,"Domergue 1990: 42; Sanchez-Palencia and Orejas 1994, 189",1.0,0.0,True,,,,,,,,Tertiary alluvium,Secondary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,1.0,1.0,1.0,1.0,Alta Certeza (Grado I),1015.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,261994.22787012733,4731417.793332645,1433.3,15719.8,17
531,Cirujales,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Orbigo,,,LE 51,128.0,405.3,911.8,42.78627194,-6.067636653,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 43,,,,,,,,,,,Quaternary terrace and river placer deposits,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),1100.0,Gneises; esquistos; marmoles y vulcanitas,"Pizarras, grauwacas, conglomerados o porfiroides",PROTEROZOICO, , ,249087.66758927613,4741645.9879586175,5555.2,5654.7,0
532,Cobas de Fornas,,Hispania Tarraconensis,Spain,La Coruña,Galicia,,,C 8,95.0,207.9,927.0,42.85145789,-8.48684587,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,False,False,False,0.0,0.0,0.0,,,Hard rock,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),273.0,Rocas metamorficas,Esquistos gneiseofélsicos y metabasitas,PROTEROZOICO-PALEOZOICO, ,UNIDADES ALOCTONAS DEL MACIZO HESPERICO,51648.655626998865,4758943.291040388,47486.7,47994.9,0
533,Cobatillas,,Hispania Tarraconensis,Spain,Ciudad Real,Alcudia,,,CR 18,808.0,524.4,452.8,38.66933798,-4.55740568,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 46,,,False,False,False,0.0,0.0,0.0,,,,,,0,No,1,Confirmado,0,No,1,Confirmado,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),557.0,Gneises; esquistos; marmoles y vulcanitas,"Pizarras, grauwacas, conglomerados o porfiroides",PROTEROZOICO, , ,364512.38241770095,4281234.417826493,6391.5,2457.1,0
535,Cogorderos I,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Tuerto,,AT-27,,,,,42.541842,-6.023149,500.0,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 15, and Google Earth",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 190",1.0,0.0,True,,,,,,,,,Secondary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),930.0,Conglomerados; gravas; arenas y limos,"Conglomerados, gravas, arenas, areniscas, limos y arcillas. Terrazas fluviales y marinas",CENOZOICO,CUATERNARIO, ,251755.16916336177,4714369.419628319,15189.8,27388.3,0
536,Cogorderos II,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Tuerto,,AT-26,,,,,42.549609,-6.02227,500.0,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 15, and Google Earth",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 190",1.0,0.0,True,,,,,,,,,Secondary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),936.0,Conglomerados; gravas; arenas y limos,"Conglomerados, gravas, arenas, areniscas, limos y arcillas. Terrazas fluviales y marinas",CENOZOICO,CUATERNARIO, ,251858.14736460202,4715229.390128212,14323.8,26755.2,0
537,Collada,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Esba o Canero,,ES-01,,,,,43.364638,-6.568056,500.0,Guessed from Google Eaerh,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 193",,,,,,,,,,,,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),411.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,210888.39581481105,4807493.861979078,2238.8,2699.4,13
538,Collado de Trasmundo,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Sil,,AS-03,,,,,42.891095,-6.336247,500.0,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 14, and Google Earth",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fed by aqueduct channel.," Sanchez-Palencia and Orejas 1994, 189; Matías Rodríguez 2013",1.0,0.0,True,,,,,,,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),1630.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Pizarras, grauwacas o arcosas, conglomerados y calizas",PROTEROZOICO-PALEOZOICO,VENDIENSE-CAMBRICO, ,227576.6930340752,4754122.547896451,9823.3,10532.3,0
539,Colmenarejo,,Hispania Tarraconensis,Spain,Madrid,,,,M 1,533.0,574.0,658.5,40.52705831,-3.995123268,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 64,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,,,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,1,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),784.0,Granitoides de emplazamiento epi-mesozonal,Granitoides biotíticos,PALEOZOICO,DEVONICO-CARBONIFERO-PERMICO,ROCAS PLUTONICAS HERCINICAS,415712.58733316866,4486733.865142463,6405.4,4406.8,0
540,Comba,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,NA-24,,,,,43.203938,-6.645396,1000.0,"Google Earth, placename",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 197",,,,,,,,,,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),597.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,203841.57914289174,4789916.564126105,2280.3,2280.3,8
541,Compuerto,,Hispania Tarraconensis,Spain,Palencia,León,,,P 3,106.0,505.7,916.3,42.84468253,-4.841430979,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 42,,,,,,,,,,,Quaternary terrace,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),1137.0,Areniscas; pizarras y calizas,"Pizarras, esquistos, areniscas, calizas, ampelitas y liditas",PALEOZOICO,SILURICO-DEVONICO, ,349528.50893779134,4745211.860657456,954.9,16.6,21
542,Concepción,,Hispania Baetica,Spain,Huelva,Huelva,,,H 6,938.0,337.0,357.3,37.77196159,-6.67482944,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,Pyrite,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,1,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),392.0,Plutonismo orogeénico calcoalcalino toleitico,Granitoides s.l. indiferenciado,PALEOZOICO,DEVONICO-CARBONIFERO-PERMICO,ROCAS PLUTONICAS HERCINICAS,176307.40466851054,4186877.3768851506,2265.3,2265.3,10
543,Constantín,,Hispania Tarraconensis,Spain,Lugo,Cuenca Alta del Miño,,AM-02,,,,,42.89268,-7.241494,500.0,"Placename, Google Earth",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 188",1.0,0.0,True,,,,,,,,,Secondary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),512.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Pizarras, grauwacas o arcosas, conglomerados y calizas",PROTEROZOICO-PALEOZOICO,VENDIENSE-CAMBRICO, ,153658.1251197848,4757630.833493271,1537.7,249.1,12
545,Corcoesto,,Hispania Tarraconensis,Spain,La Coruña,Cuenca del Allones,,AL-01,C 2,44.0,181.9,970.3,43.22747548,-8.83494566,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Domergue 1990: 40; Sanchez-Palencia and Orejas 1994, 188",0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,Modern exploitation estimates quartz veins at up to 148.5 g Au/t and silicified breccia veins at up to 46 g Au/t in narrow zones,Hard rock,Primary,Selective,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,1,0,0,1.0,1.0,1.0,1.0,Alta Certeza (Grado I),66.0,Granitoides de emplazamiento meso-catazonal,Granitoides alcalinos (marco extensional),PALEOZOICO,CAMBRICO-ORDOVICICO,ROCAS PLUTONICAS PREHERCINICAS,26110.457765792205,4802632.466410945,74157.6,70446.9,0
547,Corno,,Hispania Tarraconensis,Spain,Orense,Cuenca media del Miño,,MM-19,,,,,42.24882,-7.661514,2000.0,Guessed from Google Earth and Sanchez-Palencia and Orejas 1994 fig. 12,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 194",1.0,0.0,True,,,,,,,,,Secondary,Selective - Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),534.0,Granitoides de emplazamiento meso-catazonal,Granitoides de dos micas,PALEOZOICO,DEVONICO-CARBONIFERO-PERMICO,ROCAS PLUTONICAS HERCINICAS,115410.96985484916,4687934.118978112,42531.2,42531.2,0
548,Cornollo,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-51,,,,,43.175748,-6.819351,1000.0,"Placename, Google Earth, and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 200",,,,,,,,,,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),622.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Pizarras, areniscas, cuarcitas y calizas o rocas vulcanoclásticas",PALEOZOICO,ORDOVICICO, ,189564.81150316214,4787416.771304645,3031.0,3681.8,5
549,Corpiño,,Hispania Tarraconensis,Spain,Pontevedra,Galicia,,,PO 2,121.0,228.2,915.2,42.75495611,-8.231481851,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"""As in the case of San Finx, these mines were worked by the ancients,  the method being to open up a trench or cast on the back of the lode,  thus forming a pile on either side""""; """"cavernous workings were sometimes resorted to"""". (Borlase 1897: 17). (This is what Borlase refers to as the ""Tyre and Sidon"" reservation near Fontao and Merza.)""",Borlase 1897: 17; Domergue 1990: 41,,,False,False,False,0.0,0.0,0.0,,,,,,0,No,0,No,0,No,0,No,0,No,1,Confirmado,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),282.0,Granitoides de emplazamiento meso-catazonal,Granitoides alcalinos (marco extensional),PALEOZOICO,CAMBRICO-ORDOVICICO,ROCAS PLUTONICAS PREHERCINICAS,71852.94163587148,4746892.2877334105,32268.4,32268.4,0
550,Corralín I,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-06,,,,,42.9651,-6.676629,0.0,"Google Earth, confirmed by photo at http://www.loasturiano.com/lugar-el-corralin-ruta-514",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",1.0,0.0,True,True,False,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),825.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,200139.5983479629,4763501.075773412,446.6,907.5,58
551,Corralín II,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-05,,,,,42.969956,-6.670889,100.0,"Sanchez-Palencia and Orejas 1994, fig. 13; IGN map, and Google Earth.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,,,,,,,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),777.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Pizarras, areniscas, cuarcitas y calizas o rocas vulcanoclásticas",PALEOZOICO,ORDOVICICO, ,200631.3742444825,4764019.914231526,505.2,816.7,57
552,Corralín III,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-04,,,,,42.974329,-6.667113,500.0,"Guessed in relation to Corralín I and II from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",,,,,,,,,,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),950.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Pizarras, areniscas, cuarcitas y calizas o rocas vulcanoclásticas",PALEOZOICO,ORDOVICICO, ,200960.5631911992,4764492.136550935,1044.9,467.4,57
553,Corrego de Brañal,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-55,,,,,43.127573,-6.792312,1000.0,"Placename, Google Earth, and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 200",1.0,0.0,True,,,,,,,,,Secondary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),1035.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Pizarras, areniscas, cuarcitas y calizas o rocas vulcanoclásticas",PALEOZOICO,ORDOVICICO, ,191520.16497862997,4781966.06776001,451.6,929.7,35
554,Pozos / Corta Valladar,,Hispania Tarraconensis,Spain,León,Cuenca del Eria,,ER-13,,,,,42.281831,-6.334052,0.0,Google Earth,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 193",1.0,0.0,False,False,False,0.0,0.0,0.0,0.0,Pozos; ore-crushing anvils now lying in the village.,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,1,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),1316.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Ortocuarcitas, areniscas y pizarras",PALEOZOICO,ORDOVICICO, ,225088.5468460524,4686452.837327393,43775.2,43099.2,0
555,Cortas de Xuan Rata I,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-38,,,,,43.276106,-6.690412,1000.0,"Guessed, very approximate after Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 200",,,,,,,,,,,,Primary,Selective - Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),926.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,200538.25288960576,4798092.584411854,9814.3,6720.3,0
556,Cortas de Xuan Rata II,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-37,,,,,43.271021,-6.688449,1000.0,"Guessed, very approximate after Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 200",1.0,0.0,True,True,False,0.0,0.0,0.0,0.0,,,Primary,Selective - Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),872.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,200672.598202647,4797520.763433146,9442.7,6461.3,0
557,Cortijo de Peralbo,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,,CO 49,859.0,501.2,424.1,38.40823539,-4.82000889,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 48,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),643.0,Granitoides de emplazamiento epi-mesozonal,Granitoides biotíticos,PALEOZOICO,DEVONICO-CARBONIFERO-PERMICO,ROCAS PLUTONICAS HERCINICAS,341091.7922491515,4252679.440324557,8181.0,9658.1,0
558,Coto Fortuna,,Hispania Tarraconensis,Spain,Murcia,Cartagena-Mazarrón,,,MU 12,976.0,801.1,336.1,37.59743527,-1.409844499,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,Late Republican/early Julio-Claudia,FALSE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Located in the Mazarron region it was a huge mining area as indicated by the archaeological remains of buildings, workings and mining waste (over 2.4 million tons). It had galleries measuring over 2 km in length. It was opened in the Republican period and was leased to mining companies.",Domergue 1990: 64,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,Five ingots of the societas argentifodinarum Ilucronensium found here in the early 20th c.,,,,0,No,1,Confirmado,0,No,1,Confirmado,0,No,0,No,0,No,0,1,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),232.0,Conglomerados; areniscas; arcillas; calizas y evaporitas; Vulcanitas basicas,"Rocas volcánicas calcoalcalinas (andesitas, dacitas, riolitas, shoshonitas, lamproitas)",CENOZOICO,NEOGENO, ,640375.7768794543,4162339.797697232,27889.4,21789.1,0
559,Cotofia,,Hispania Tarraconensis,Spain,Ciudad Real,Alcudia,,,CR 27,835.0,552.0,443.0,38.58296146,-4.23929458,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 46,,,False,False,False,0.0,0.0,0.0,,,,,,0,No,1,Confirmado,0,No,1,Confirmado,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),732.0,Gneises; esquistos; marmoles y vulcanitas,"Pizarras, grauwacas, conglomerados o porfiroides",PROTEROZOICO, , ,392058.32298131636,4271227.119786851,2799.3,798.7,17
560,Couso / Vega Misada - Los Lagos,,Hispania Tarraconensis,Spain,León,Cuencas de Cúa y Burbia,,CB-32,LE 4,158.0,350.7,898.7,42.656124,-6.726638,100.0,"Converted in QGIS from Lambert coords, Madrid 1870, adjusted with Google Earth.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Domergue 1990: 44; Sanchez-Palencia and Orejas 1994, 192",1.0,0.0,True,,,,,,,,Terrace,Secondary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,1,0,1,0,1.0,1.0,1.0,1.0,Alta Certeza (Grado I),581.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,194541.5816090305,4729365.208294091,2140.0,2038.5,3
561,Cousos,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Orbigo,,,LE 52,128.0,405.4,910.4,42.77369785,-6.0659586,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 42,,,,,,,,,,,Hard rock,,,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),1265.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Pizarras, grauwacas o arcosas, conglomerados y calizas",PROTEROZOICO-PALEOZOICO,VENDIENSE-CAMBRICO, ,249174.13077154383,4740244.557740298,4408.0,6939.3,5
563,Covas / Covarradeiras,,Hispania Tarraconensis,Spain,La Coruña,Zona de Prior y Valdoviños,,PV-01,C 5,21.0,229.6,1003.2,43.54639773,-8.2696313,100.0,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,"Domergue 1990: 41; Sanchez-Palencia and Orejas 1994, 201",,,,,,,,,,,Hard rock,Primary,Selective,1,Hipotetico,0,No,1,Confirmado,0,No,0,No,0,No,0,No,0,0,0,0,1.0,1.0,1.0,1.0,Alta Certeza (Grado I),54.0,Rocas metamorficas,"Serpentinitas, metabasitas y metavulcanitas ácidas (Metasedimentos septentrionales)",PROTEROZOICO-PALEOZOICO, ,UNIDADES ALOCTONAS DEL MACIZO HESPERICO,74275.75321188953,4835001.612061992,25581.9,25581.9,0
564,Covas,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Navia,,NV-81,,,,,43.04589,-6.991571,500.0,"Placename, IGN map, Google Earth, and Sanchez-Palencia and Orejas 1994, fig. 13.",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 201",,,,,,,,,,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0,No,0,No,0,No,0,0,0,0,0.85,0.9,1.0,0.905,Alta Certeza (Grado I),486.0,Cuarcitas; pizarras; areniscas; calizas y vulcanitas,"Areniscas, pizarras, cuarcitas o calizas y conglomerados",PALEOZOICO,CAMBRICO-ORDOVICICO, ,174877.60965436994,4773647.597664078,1722.9,1100.2,32
